aðalumsjónarmaður;kk
aðalumsögn;kvk
aðalumtalsefni;hk
aðalundirforingi;kk
aðalundirrót;kvk
aðalundirstaða;kvk
aðaluppáhald;hk
aðaluppdráttur;kk
aðaluppeldismeðal;hk
aðaluppgrip;hk
aðalupphafsmaður;kk
aðaluppihald;hk
aðaluppistaða;kvk
aðaluppreisnarmaður;kk
aðaluppskurður;kk
aðaluppspretta;kvk
aðalupptök;hk
aðalupptökulón;hk
aðaluppvarp;hk
aðalútbreiðsla;kvk
aðalútbreiðslusvæði;hk
aðalútfall;hk
aðalútflutningsvara;kvk
aðalútflutningsverðmæti;hk
aðalútgefandi;kk
aðalútgerðarmaður;kk
aðalútgerðartími;kk
aðalútgjöld;hk
aðalútibú;hk
aðalútlit;hk
aðalútræði;hk
aðalútsvar;hk
aðalútsöluumboð;hk
aðalúttak;hk
aðalúttekt;kvk
aðalúttektarmaður;kk
aðalvaldamaður;kk
aðalvalkostur;kk
aðalvalmynd;kvk
aðalvandamál;hk
aðalvandaverk;hk
aðalvandi;kk
aðalvar;hk
aðalvaramaður;kk
aðalvarasjúkrahús;hk
aðalvaratillaga;kvk
aðalvarðmaður;kk
aðalvarðstjóri;kk
aðalvarnarmaður;kk
aðalvarnarvopn;hk
aðalvatn;hk
aðalvatnsból;hk
aðalvatnsfall;hk
aðalvatnsmagn;hk
aðalvaxtarstig;hk
aðalveðskuldabréf;hk
aðalveðurviti;kk
aðalvefja;kvk
aðalvegur;kk
aðalveiðarfæri;hk
aðalveiði;kvk
aðalveiðimaður;kk
aðalveiðistöð;kvk
aðalveiðisvæði;hk
aðalveikleiki;kk
aðalveitingamaður;kk
aðalveldi;hk
aðalvelferðarmál;hk
aðalvelgjörðarmaður;kk
aðalverðlaun;hk
aðalverðmæti;hk
aðalverk;hk
aðalverkamaður;kk
aðalverkefni;hk
aðalverkeigandi;kk
aðalverkfall;hk
aðalverkfæri;hk
aðalverkstjóri;kk
aðalverkstæði;hk
aðal verksvið;hk
aðalverksvið;hk
